frame_id,tile_id,rank,x1,y1,x2,y2,conf,cls
0,6,6,669.6366,210.8539,752.2084,391.7113,0.8533,0
0,7,7,722.0866,215.9100,799.1637,382.8922,0.8081,0
0,5,5,292.0955,222.2411,337.5296,353.8510,0.7996,0
0,5,5,217.3797,220.7639,275.0001,361.7565,0.7606,0
0,6,6,627.0966,223.0155,644.7463,273.3426,0.6661,0
0,5,5,366.4459,235.1755,383.5463,285.7966,0.5840,0
0,6,6,541.7270,222.3234,567.8304,296.7967,0.4297,0
1,6,6,671.6390,217.1291,755.8529,394.2152,0.8671,0
1,5,5,292.3068,221.8887,337.1853,353.8944,0.8145,0
1,5,5,218.5032,221.3321,276.4346,361.0741,0.7661,0
1,7,7,726.1552,216.5790,799.6240,383.6449,0.7642,0
1,6,6,627.2353,223.0822,646.6875,272.8291,0.6735,0
1,5,5,366.3996,235.3804,384.3032,285.9029,0.5640,0
1,6,6,541.8974,221.6550,567.8773,295.9689,0.4242,0
1,6,6,509.2952,216.5131,529.3513,266.7782,0.4177,0
1,7,7,853.9305,216.3518,893.5797,292.3505,0.4169,0
1,7,7,920.9356,240.3264,953.5237,328.3960,0.3785,0
2,6,6,672.5706,210.2066,760.1433,397.4587,0.8843,0
2,5,5,292.3944,222.1198,337.5859,354.1555,0.7987,0
2,7,7,729.5237,218.1397,803.0560,385.0441,0.7663,0
2,5,5,218.6156,220.8582,277.1756,360.9999,0.7467,0
2,6,6,627.3394,222.3882,646.7418,272.9604,0.6448,0
2,5,5,366.1457,235.5482,384.8607,286.2519,0.6276,0
2,6,6,542.1173,221.0491,567.8133,296.8829,0.4441,0
2,6,6,508.7615,215.9017,529.2078,266.3070,0.4356,0
3,6,6,673.8363,208.8250,761.3390,399.9421,0.8859,0
3,5,5,291.8136,221.6633,337.5915,354.8054,0.7941,0
3,5,5,218.9138,220.6325,278.7002,361.8791,0.7353,0
3,7,7,737.2439,216.1459,803.8799,384.5537,0.6733,0
3,6,6,627.2184,221.9970,646.8005,272.9411,0.6650,0
3,5,5,366.0746,236.0219,384.4770,285.8906,0.6298,0
3,6,6,544.4489,220.4156,568.3661,297.7515,0.4291,0
3,6,6,508.5206,215.3796,529.1566,266.1617,0.4132,0
4,6,6,677.0440,207.7557,762.3391,399.2147,0.8887,0
4,5,5,292.0536,222.1343,336.7389,354.8838,0.7864,0
4,5,5,219.2201,220.7600,280.9424,362.0200,0.7777,0
4,7,7,742.4328,214.8927,800.1907,384.5952,0.6721,0
4,6,6,627.1810,222.1665,646.6648,272.9341,0.6666,0
4,5,5,366.1715,235.5754,384.8755,285.4795,0.5880,0
4,6,6,544.1968,220.5267,568.3885,297.7258,0.4009,0
4,6,6,508.9721,215.8704,528.7197,266.1439,0.3672,0
4,7,7,921.4551,240.6266,954.0196,328.3454,0.3539,0
5,7,7,680.6090,207.5127,762.9247,398.7900,0.8804,0
5,5,5,292.0317,221.9144,337.0215,354.9532,0.7918,0
5,5,5,219.4650,220.8086,282.2852,361.9920,0.7532,0
5,7,7,743.5770,214.3273,803.0181,385.1562,0.6654,0
5,6,6,627.2410,221.8635,646.6658,273.0063,0.6510,0
5,5,5,366.1650,235.9392,384.6227,285.1506,0.5742,0
5,6,6,508.8314,215.8293,528.5206,266.1187,0.3913,0
5,6,6,541.5336,220.4639,568.1187,295.8099,0.3849,0
6,7,7,688.5148,207.5036,764.4665,399.7444,0.8881,0
6,5,5,291.6428,221.3134,337.6414,354.9653,0.7866,0
6,5,5,219.5563,220.8337,282.7256,362.3435,0.7610,0
6,7,7,743.0835,215.3195,801.2324,385.1761,0.7093,0
